place,price,key
Dolmabahçe Palace,19.11,1
Topkapı Palace,21.23,2
Basilica Cistern,8,3
Galata Tower,15,4
Rumeli Castle,2.12,5
Istanbul Archaeology Museum,8.50,6
Museum of Turkish and Islamic Arts,2.55,7
Beylerbeyi Palace,4,8
Fortress of Europe,2,9
Şerefiye Cistern,7.64,10
