place,price,key
Green Elephant Sanctuary Park,71.72,1
Gibbon Rehabilitation Project,5.74,2
Patong Boxing Stadium,43,3
Phuket 3D Museum,11.48,4
Phang Nga Bay,43,5
Phi Phi Islands,11.50,6
Koh Panyi,8.61,7
Andamanda Phuket Water Park,43,8
Snorkeling,37.29,9
Phuket Aquaria,20,10
