airline,price,outbound time,return time,key
Air Portugal,890,8 hours and 45 minutes,21 hours and 30 minutes,1
Norse,942,8 hours and 42 minutes,9 hours and 35 minutes,2
United Airlines,1116,8 hours and 15 minutes,9 hours and 25 minutes,3
