place,price,key
Trevi Fountain,0,1
Pantheon,0,2
Spanish Steps,0,3
Sights of Trastevere,0,4
Via Appia Antica,0,5
Piazza Navona,0,6
The Church of Saint Ignatius of Loyola,0,7
Centro Storico,0,8
San Pietro in Vincoli,0,9
Fiumi Fountain,0,10
