place,price,key
Hagia Sophia,0,1
Blue Mosque,0,2
Sultanahmet Square,0,3
Old Town,0,4
Golden Horn,0,5
Suleymaniye Mosque,0,6
Rüstem Paşa Mosque,0,7
Yedikule Fortress,0,8
Fatih Mosque,0,9
Stroll Istiklal Caddesi,0,10
