place,price,key
Big Buddha,0,1
Bangla Road,0,2
Kata Beach,0,3
Karon Beach,0,4
Patong Beach,0,5
Wat Chalong,0,6
Promthep Cape,0,7
Old Phuket Town,0,8
Monkey Hill,0,9
Banana Beach,0,10
